RegionID,StateName,RegionName,DivisionName,SizeRank,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
9,California,West,Pacific,1,1960,1948,1933,1921,1908,1902,1900,1902,1907,1911,1914,1914,1912,1906,1898,1892,1887,1886,1889,1896,1903,1910,1915,1918,1916,1912,1910,1912,1917,1925,1936,1947,1957,1967,1977,1985,1988,1988,1985,1985,1985,1989,1993,2001,2022,2050,2084,2110,2131,2148,2160,2169,2178,2188,2203,2219,2236,2251,2261,2266,2266,2268,2278,2288,2304,2318,2334,2347,2357,2367,2375,2383,2388,2392,2395,2399,2404,2413,2424,2435,2446,2455,2467,2476,2482,2486,2487,2488,2490,2492,2494,2494,2494,2495,2495,2500,2517,2539,2557
54,Texas,South,West South Central,2,1213,1218,1216,1212,1208,1206,1207,1210,1214,1217,1217,1213,1208,1204,1201,1200,1200,1200,1204,1209,1217,1223,1228,1228,1225,1220,1219,1219,1224,1230,1240,1251,1261,1268,1273,1277,1279,1282,1282,1281,1279,1280,1283,1289,1299,1313,1327,1337,1343,1347,1349,1353,1357,1363,1372,1382,1393,1402,1404,1402,1397,1395,1396,1399,1404,1407,1412,1418,1423,1426,1428,1426,1422,1415,1408,1404,1402,1402,1406,1415,1427,1436,1440,1440,1441,1440,1440,1440,1440,1440,1440,1440,1440,1441,1441,1443,1449,1458,1465
43,New York,Northeast,Mid-Atlantic,3,1700,1697,1693,1689,1688,1692,1695,1698,1701,1708,1715,1718,1713,1709,1707,1709,1714,1724,1742,1755,1767,1772,1772,1768,1765,1766,1769,1769,1773,1779,1795,1816,1839,1856,1869,1880,1893,1902,1905,1904,1903,1905,1908,1913,1933,1957,1987,2007,2021,2022,2016,2014,2019,2029,2038,2053,2070,2101,2128,2150,2155,2154,2157,2156,2160,2156,2158,2163,2173,2181,2187,2193,2198,2198,2195,2190,2184,2175,2168,2165,2173,2185,2198,2203,2201,2193,2184,2177,2174,2171,2167,2164,2161,2160,2158,2164,2184,2208,2227
14,Florida,South,South Atlantic,4,1260,1267,1266,1264,1258,1253,1249,1249,1251,1253,1254,1253,1252,1251,1250,1249,1249,1252,1257,1262,1267,1271,1275,1277,1280,1283,1286,1288,1290,1293,1297,1305,1314,1323,1333,1343,1354,1364,1372,1377,1380,1382,1383,1385,1390,1396,1404,1411,1415,1419,1423,1429,1435,1442,1451,1459,1468,1475,1479,1480,1481,1485,1491,1496,1500,1503,1509,1515,1521,1524,1527,1530,1533,1536,1538,1539,1539,1539,1540,1541,1544,1546,1548,1546,1543,1543,1547,1555,1564,1570,1573,1574,1574,1575,1575,1578,1587,1601,1612
21,Illinois,Midwest,East North Central,5,1470,1467,1458,1445,1430,1423,1422,1423,1420,1415,1412,1412,1407,1396,1382,1373,1370,1369,1374,1380,1387,1393,1404,1415,1414,1404,1389,1376,1370,1376,1386,1400,1409,1419,1426,1433,1438,1443,1446,1443,1439,1430,1429,1430,1443,1455,1469,1473,1474,1468,1459,1450,1446,1446,1449,1456,1464,1475,1480,1479,1474,1469,1471,1473,1479,1481,1485,1488,1491,1492,1491,1487,1478,1465,1453,1445,1443,1444,1451,1464,1479,1490,1496,1497,1495,1490,1483,1477,1475,1474,1473,1472,1470,1469,1469,1474,1488,1504,1514
47,Pennsylvania,Northeast,Mid-Atlantic,6,1200,1198,1191,1181,1176,1177,1182,1185,1188,1190,1189,1183,1173,1158,1146,1142,1147,1157,1168,1178,1185,1188,1187,1186,1183,1179,1176,1172,1170,1171,1177,1185,1192,1197,1199,1199,1195,1189,1183,1178,1175,1173,1172,1175,1183,1193,1202,1205,1206,1204,1200,1197,1195,1195,1200,1208,1219,1230,1235,1232,1222,1211,1206,1206,1213,1219,1226,1231,1235,1238,1237,1234,1228,1219,1209,1203,1201,1202,1206,1214,1223,1231,1236,1236,1232,1225,1217,1213,1212,1212,1211,1209,1208,1206,1205,1209,1222,1235,1244
44,Ohio,Midwest,East North Central,7,971,967,969,966,962,952,950,955,965,974,978,976,973,970,969,968,971,970,966,957,952,953,958,964,966,965,960,956,956,963,972,982,990,997,1002,1007,1008,1008,1004,1000,996,994,995,999,1013,1032,1051,1057,1053,1046,1041,1039,1042,1049,1059,1072,1085,1093,1096,1094,1091,1086,1083,1077,1074,1072,1077,1084,1090,1095,1096,1095,1091,1085,1077,1071,1068,1071,1079,1089,1097,1102,1105,1104,1101,1097,1093,1090,1088,1086,1084,1082,1080,1079,1079,1081,1089,1099,1108
30,Michigan,Midwest,East North Central,8,1100,1101,1099,1090,1074,1060,1059,1065,1079,1086,1089,1057,1004,944,911,897,893,896,907,918,927,931,933,938,942,943,938,926,912,907,912,923,934,944,957,978,992,998,989,981,971,965,961,966,978,994,1010,1018,1018,1011,1005,1005,1012,1027,1039,1049,1056,1064,1070,1070,1065,1059,1060,1061,1064,1063,1068,1076,1082,1086,1088,1089,1090,1091,1093,1096,1098,1099,1099,1104,1112,1125,1134,1139,1139,1136,1129,1122,1118,1118,1118,1118,1120,1121,1122,1126,1135,1146,1154
16,Georgia,South,South Atlantic,9,1111,1117,1116,1111,1105,1100,1098,1097,1097,1097,1095,1092,1091,1088,1084,1079,1077,1074,1073,1074,1079,1081,1080,1077,1072,1066,1061,1058,1057,1061,1066,1075,1083,1090,1095,1098,1100,1101,1099,1097,1096,1096,1096,1098,1104,1113,1123,1131,1138,1142,1145,1144,1145,1149,1156,1166,1173,1181,1185,1186,1183,1180,1181,1183,1188,1191,1195,1197,1199,1199,1199,1201,1202,1202,1201,1202,1202,1206,1211,1222,1233,1243,1249,1254,1257,1259,1259,1260,1262,1264,1265,1265,1264,1264,1263,1267,1278,1292,1303
36,North Carolina,South,South Atlantic,10,994,992,990,987,987,989,992,1000,1009,1017,1018,1017,1015,1011,1009,1009,1011,1016,1019,1026,1031,1037,1039,1037,1035,1031,1024,1018,1014,1015,1020,1030,1046,1060,1071,1077,1079,1079,1077,1072,1069,1068,1070,1073,1078,1083,1087,1090,1091,1093,1093,1095,1098,1104,1113,1125,1136,1143,1144,1140,1133,1126,1124,1129,1137,1144,1149,1153,1155,1155,1155,1156,1155,1152,1149,1147,1146,1148,1153,1162,1176,1187,1194,1195,1195,1194,1193,1194,1195,1197,1198,1198,1198,1198,1198,1200,1210,1224,1236
